No.,FECHA,PERSONAL,SITIO,SERVICIO,TIPO / SERV,ESPECIFICAR,AREA
1,01/01/2025,ANGEL,CAMPER P&O,MENOR,SERV GENERAL,CHEQUEO  DE SER V DE LIMPIEZA EN  CAMPER P&O,CAMPER P&O
2,01/01/2025,ANGEL,MODULAR  ,MENOR,SERV GENERAL,CHEQUEO  DE SER V DE LIMPIEZA EN  MODULAR,MODULAR  
3,01/01/2025,ANGEL,MODULAR  ,MENOR,MANTENIMIENTO,CHEQUEO  EN MODULAR LUZ INTERIOR,MODULAR  
4,01/01/2025,ANGEL,CAMPER P&O,MENOR,MANTENIMIENTO,CHEQUEO  EN  CAMPER P&O  LUZ INTERIOR,CAMPER P&O
5,02/01/2025,ANGEL,CAMPER P&O,MENOR,SERV GENERAL,CHEQUEO DE TINACO P&O,CAMPER P&O
6,02/01/2025,ANGEL,MODULAR  ,MENOR,SERV GENERAL,CHEQUEO TINACO MODULAR,MODULAR  
7,02/01/2025,ANGEL,PROCURA,MENOR,SERV GENERAL,CHEQUEO  DE SER V DE LIMPIEZA PROCURA,PROCURA
8,02/01/2025,ANGEL,CAMP OPER 1,MENOR,SERV GENERAL,CHEQUEO  DE SER V DE LIMPIEZA EN  OPERACIONES ,OPERACIÓN 1
9,03/01/2025,ANGEL,CAM OPER 2,MENOR,SERV GENERAL,CHEQUEO  DE SER V DE LIMPIEZA EN  OPERACIONES 2,OPERACIÓN 2
10,03/01/2025,ANGEL,PROCURA,MENOR,SERV GENERAL,CHEQUEO DE TINACO PROCURA,PROCURA
11,03/01/2025,ANGEL,CAMP OPER 1,MENOR,SERV GENERAL,CHEQUEO DE TINACO OPERACIÓN ,OPERACIÓN 1
12,03/01/2025,ANGEL,CAM OPER 2,MENOR,SERV GENERAL,CHEQUEO DE TINACO  OPERACIÓN 2,OPERACIÓN 2
13,04/01/2025,ANGEL,PROCURA,MENOR,MANTENIMIENTO,CHEQUEO  EN  PROCURA LUZ INTERIOR,PROCURA
14,04/01/2025,ANGEL,CAMP OPER 1,MENOR,MANTENIMIENTO,CHEQUEO  EN  OPERACIONES  LUZ  EXTERIOR,OPERACIÓN 1
15,04/01/2025,ANGEL,CAM OPER 2,MENOR,MANTENIMIENTO,CHEQUEO  EN  OPERACIONES 2  LUZ INTERIOR,OPERACIÓN 2
